;index;spec_name
0;Конструктор;2153
1;Машиностроение;523
2;Сервисный инженер;460
3;Инженер;457
4;Авиационная промышленность;291
5;Радиоэлектронная промышленность;127
6;Электроэнергетика;87
7;Системы автоматизированного проектирования;41
8;Автомобильная промышленность;26
9;Нефтепереработка;23
10;Сертификация;20
11;Главный инженер;14
12;Металлургия;13
13;Производство;10
14;Судостроение;9
15;Гражданская авиация;7
16;Станки, тяжелое оборудование;6
17;Атомная энергетика;6
18;Главный механик;5
19;Решения по автоматизации процессов;5
20;Производство, Технология;2
